query,title,link,summary,source,published,sentiment_score,sentiment_label
france,France summons US envoy Charles Kushner over ‘unacceptable’ antisemitism allegations - The Independent,https://news.google.com/rss/articles/CBMipgFBVV95cUxOOE5OZXZiODF4QWlVQmRpVEpiY2dsV0gwOVNlNERUWXp0a1c5YlNXbmdiRkEzWFhuOFNpUjZkTjkxLUxXMjBqYzlYYlBJZ28xQUprVGxfeHJwRzdhS3hGRjlKOXZxRG1mdExhT0N1YUd1WDVXVmM4SXB5eXVYTmc3N2xfdEg0QjhoVlYxa2VCaVVpVUFoT3lDYWxEZTRCbTFJbEFYbk93?oc=5,France summons US envoy Charles Kushner over ‘unacceptable’ antisemitism allegations The Independent,The Independent,2025-08-25 05:00:00+00:00,0.0,Neutral
india,IT firms lead Indian shares higher on Fed rate cut hopes - Reuters,https://news.google.com/rss/articles/CBMiowFBVV95cUxPVEdCT0xQZ281QXdQUnFPY2JoZlQwNlVfSFFIb016X2YtelFPcWtFY3pRaHMtUHhfX1JPYnBsd3B6cTRrRU4tWVJ5ZldHWERVYWlWUmltZmpGczE0cDItZ29fZWszVndHaXVITTl4UkNIQzh2WVBRWGhRc2xTakdlbVZyUUJnbDhtUHRuX3ZhZFZXU01qMkZpZXh0NWtETTJISXAw?oc=5,IT firms lead Indian shares higher on Fed rate cut hopes Reuters,Reuters,2025-08-25 04:34:00+00:00,0.7003,Positive
india,'Sudharma': India’s only Sanskrit newspaper completes 55 years of printing; publishes only inspiring news - Times of India,https://news.google.com/rss/articles/CBMiugJBVV95cUxONER1Zjk2VDkwY3VoVHF0dHlvSEItSmpwWmdpSmtJMWJXTmxuUXBGY2p5MXFHczlpNVZmYXpzZGN5dEg4dGl6LXRxT3paWEtOUnFUNXRsdWdSdHF6ZThkMmtlOVNXeFNxeGI4ZWI2SzBIS1BQcjd1cVRnRFFGbEZsSmFNNmp3ajNWd29jTENkZFAzTUZMQ3ZyY2xnY0x5ZXBlSXItVUozdWdiNVRHVUhJakZ3WXgtaWtESzBuMVRkZjZEc0ZBSTBxdDZqclgyR1hKTHMzWHVHS0VnZUZOcnNia0VkRVJaUDU4VmJfRXN1eGw2UmZlRkZHaWtBSGhBSVBHVnZVY2pPOExyLURxdlZueDY0WmZTazdWa0N6dGF0akp1Sldtb2k5ampRU054ajJqN2toNTh4SlNEQdIBvwJBVV95cUxPSEo0cTZNcGVoT2RUTnlBbktrNnRnVkxXQV90SWlKSEhYOGExbzdBdTRYdTE5OERnUEczQW9KYzVjd0NuTldsZHVxUDNMM21lV1Z3ZGJ2NEFTWHJZanBKUVdfVHdWWlJ0MUVXM3RVeWk5em9BRHBiT1A5REFuUWR4aHBQbjFyaVRFUS0zN1ZWdEJCcjZyMlh6YnphZDBRTUVWdS1sd2kzTFM0ZU9lVWNEOUpNNmtXLWZGMWhLX245dUhCOEtoc2VqdmJyaTlieFVVMERodGx0dGdJZVFUbUYtd3F5Y2RpcWJ5YnN6cWFGeG12X3dWTUxyMi0wdzJHRHBtTlBjX2VCMmhxRHJTSXBzY3ZKWlhaU2Q1ODBXME1hWUtfWmJxamY3SnJzWGtWQ01ibjdYOFo0bkpfZjlhcEJV?oc=5,'Sudharma': India’s only Sanskrit newspaper completes 55 years of printing; publishes only inspiring news Times of India,Times of India,2025-08-25 04:13:00+00:00,0.6808,Positive
india,"""To Make It Harder For Russians"": JD Vance On Trumps Tariffs On India - NDTV",https://news.google.com/rss/articles/CBMi4gFBVV95cUxNTUVxaUZnWDBPUS1fRFp1aHhPZ0lDcElhUG1wR1h6MFFBcGctZHlUSl9YSkVnV0xkWE96Z2xzYzVEYWp0Slh6TzlLd2NYT3dQakNWN3dpODRaN0pWTmtGbHV4TzU2SUFfRGMyOWNmVHgzVGhZUHZuSW1NWUhRQ0dsay1HV1ZqbHBWTWwtdmRmWWRQZHEtVjN6SThsVkgtVmc1Zy16Wi1Ld3RmRl9KWEFfTExXdHRlNVN6bmNnZzNpRlh2UXNwN29jdHFVUTFHY0Z3aHBWN0VPZzRmS2NuSEV6TDlR0gHqAUFVX3lxTE5hc203OTh6cGc2eEdJVHlianZMTUlwME9maFhLOS1qaGNLRVhKTjhZcUx2alJXeGVBT1FOa0RoV3kySXM0ZTZsOTZqQWhGLWdFN0VyS0taS3FJMUxOZnBUOHRUZmZqTWtTUkJmUkpoNGlkWXJfVnhsa3lFUXZ6dWROM1NqTEV3Qk50UE4yd25aNVpRRzJWRnlmZ1QyZDFGY1M5dmdzRk5Wc1NuNExZNlk2b3E2andVS1Nhc3hOY201VXlMTWtzVHRyUTl4NERYbVZMNk1EVVE4UWRxMy1HOGE1YXZWM1daS1lQQQ?oc=5,"""To Make It Harder For Russians"": JD Vance On Trumps Tariffs On India NDTV",NDTV,2025-08-25 01:56:47+00:00,0.0,Neutral
france,France summons US envoy Charles Kushner over antisemitism claims - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE1mbkF3dDZ2WU1nUTB3Wk53NGthYjNmOElJLWp3X1lSc004NHBzZ1JFTzlEaFBtY0s5M09XMXdaVjhRazVYXzBIZW16SDhWbjdWYmx1MG9yVEtqUdIBX0FVX3lxTE02bDZzeEhWd29Gbk9yZDJTQklVMC1jRm90R19pd3Q2eVJFbGVoLUFTWWhkM3FWR21fSVNDaEJBTTNuOV91UEdwYWplR3FGSGNhWFNLVUZyVWRRMVVGa2RV?oc=5,France summons US envoy Charles Kushner over antisemitism claims BBC,BBC,2025-08-25 00:13:00+00:00,0.0,Neutral
france,France summons US ambassador Charles Kushner over antisemitism allegations - The Guardian,https://news.google.com/rss/articles/CBMioAFBVV95cUxQaVhxb0pkZUdVNU5PendrUThSb0FLMXV6emptRE9zcE5XcndIWUVwaW1vbWlsSEJIZ0pGUFdUWkFJSDdia0diNkxWb1JCUTB6eHBzeTFZM3VqYXVuYUV5T2FXeWtFWUhfbHBMNUxXeElQRGRqTUFtVWxKeXV5N2pBOWRYem9CV3AzeWJXX2dCSHZXVE9PSVAyMlhrT2pJUzc1?oc=5,France summons US ambassador Charles Kushner over antisemitism allegations The Guardian,The Guardian,2025-08-25 00:13:00+00:00,0.0,Neutral
spain,"Spain’s August heatwave was ‘most intense on record’, weather agency says - Al Jazeera",https://news.google.com/rss/articles/CBMirwFBVV95cUxNZWRLOEhtZEJkdFZDbmdGcTFGUjFERHIzVnhlZ2JrTC0tOVdSZTJMazRTbzg2LW1oampWa0VSdV9HWDVQaS1LMVFtZktiUC01bjMwZUU0VDRWZU9LX0tXVDgxM3dJaEhJQ0dwVU5sVkoxUExXaEFpSy02QnBXX1VFM25sOWhfYVF0NTZZQnpLNGkyZ0V6ZkdzQURldUE1OXlQdi1fb2xRT3JqcjBpTjV30gG0AUFVX3lxTE55aXp0R0p6eXBnbXBHRE13WlhDUkZWV0Y0eFRCRnRoVzRwMHRobHMwa08teHphanE4bS1yQ253dW1kOC14VkQ1WXJvQ2lmRTBJaHdVYWN2V0pPb2M4ZnozZk1TZlBEal9oM0YwdGxjdnBVR2Rja1Q5YU5NTkFUQUFIb044RVJoVmdQOXlaOVBtR3BhS3lmYndMNS1EQWhyQ0kzVGo5X2VDWWdhNHczN3JOWjlwQw?oc=5,"Spain’s August heatwave was ‘most intense on record’, weather agency says Al Jazeera",Al Jazeera,2025-08-24 22:17:25+00:00,0.1531,Neutral
india,"Heat Kills When Sweat Can’t Evaporate. In India, It’s a Deadly Reality - Bloomberg.com",https://news.google.com/rss/articles/CBMia0FVX3lxTE9VVEU0cEppR291WFdYMWZ0aWF6cW9Lb3dVbXBtNmZsQUx1R1JuS0hFWHdtMlhTUkstREFyS2pWVzVHUVl5R1FIT05JQUFzM2hGVWNxTEhReXhRaWhBQ2lGRHJfcUcyemtTWlhV?oc=5,"Heat Kills When Sweat Can’t Evaporate. In India, It’s a Deadly Reality Bloomberg.com",Bloomberg.com,2025-08-24 22:00:00+00:00,-0.7906,Negative
france,Archaeologists uncover ancient baptistery in France tied to early Christian rituals - Fox News,https://news.google.com/rss/articles/CBMipAFBVV95cUxPZFU2VEtraW9FcHJKbHRXb19jRGluQXZvenJmNVM0X2RpMENRTnhCZmprQ1hhQkRZTnRUX2Q4dmtma0RHY0V1SzM1aGNQamdhWG15REVUWUdGaXczVGVzZzNhSnNnNW9PV0JrV2wybEk1SzIwQkZEdll3WEx4bHZCYlpPVWg5Sm1mYWtfdU8xdUZKNDJtb2hSY3VBZHl3RmtmU0hBVtIBqgFBVV95cUxQYUxoZDlFX3pyY1Fkd3NOTGU2VlIzX3hyUUZsU2I0dFNocGU4c29vVzZkS2FzcTNnaVlMMjI3MV9NQnJhSW5QWXBsakhYR1M2N2pJMXlINGhQUzZ1Umw0MElVYU5MVm1nNXBWUjVRLXRVOFA2aFl1NWtjZS1BcEdCdHhaN05BTzZHYzdtaXE0aW1lMWVqeFF6UW01aEduYmtFeGszWVZzVm9TZw?oc=5,Archaeologists uncover ancient baptistery in France tied to early Christian rituals Fox News,Fox News,2025-08-24 13:00:54+00:00,0.0,Neutral
spain,Heatwave that fuelled deadly wildfires was Spain’s ‘most intense on record’ - The Guardian,https://news.google.com/rss/articles/CBMimAFBVV95cUxNVVFMN0hOSEE5YjBBM1loVVUyZTFfWm5nUUppMUV0RG56UVpxUFNqN1RnR25TVmhiemlnUkNFRkpvVU9NenFXMlc2TmtBOXlFdTA3YkVBd3RDY2g4cWNxdjFyWlZmSTdpS1VwMVVxdkZUWDhlYlFpVUlzbXBReDhaazZWN19pWWdhRjhvYTBaamNZMjJLTTZXMQ?oc=5,Heatwave that fuelled deadly wildfires was Spain’s ‘most intense on record’ The Guardian,The Guardian,2025-08-24 10:53:00+00:00,0.1531,Neutral
