query,title,link,summary,source,published,sentiment_score,sentiment_label
sports,"Badminton World Championships starts, Gukesh, Praggnanandhaa draw in Sinquefield Cup: Indian Sports LIVE, August 25 - ESPN",https://news.google.com/rss/articles/CBMi7gFBVV95cUxOVnhYalptYzh0TUYxSU44SGFmcjBMcGRZWm9qaG1QTTlfWUNxMmJiMFRsZGtpbjI0V3h5Y2NlbUNmZG1ldzBnU2RkQUxvcXo4Y05kUkhjczZFYk4tWG9Mbm1VUzdsdlhuN2lQTFAtMmNaUlpqYzV2SHdJcUhtOEJLalVLblhmRmFiVmxsNU9vSmVKa3hkNk16UXdPMndxX2s2eVVsNmxIS0xlYmxCbFBrZ005TzRjM1VYb282RnVxUXJrdm1ZMVR1MkhISERnQm5jRTVmckZzVk5xSTdxRC0yeEFYVWVMTFN3X2VmZXBB?oc=5,"Badminton World Championships starts, Gukesh, Praggnanandhaa draw in Sinquefield Cup: Indian Sports LIVE, August 25 ESPN",ESPN,2025-08-25 05:04:18+00:00,0.7506,Positive
floods,Why deadly floods keep devastating Pakistan - BBC,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5IbzhYSGU4WGpmQS1tcDE0WURFM2N0WDVqdERZV3A4b3ZXZjNhYktIU05TbWhhUkozWGdsX0pHOVBhYzUtejlGa2swOWxpMVFwaEJueFA5QV9Rd9IBX0FVX3lxTE1UUjNvYW96NVJ3TDlGNXZraTJ3MVIxNEtRd1dKN01mcmdQYkpFMTRuMmdrQm5ZN09wcnZJMU82T3FOTVJIVzE5eFprb1Y0Ullldjd1dHZKMms0UG1BN3kw?oc=5,Why deadly floods keep devastating Pakistan BBC,BBC,2025-08-24 22:07:45+00:00,-0.8625,Negative
Elon Musk,"1st patient who got brain chip from Elon Musk's Neuralink to begin his own business | 'Technically I'm a cyborg, I've been enhanced' | Inshorts - Inshorts",https://news.google.com/rss/articles/CBMixAFBVV95cUxNb1diSXFIaXVyZEtiQ3hwNnpZeXJXdjdDZ1pnX0ozTXFLSk1jN2hKbUZyek1FS2JPbWNWM0tGbHpqaS15MXRhM3lJclZacFZuUm8zaXdEMlRMV2FUaUZJYlc2MXRRVVFDZkg2MHpJZ243MHV6N0FaMjFJUl9ybjJGRnN5bFYtMHdJZXdXM00yZXY1TWQzUDV0dl9qVXN6N05ibTFnbnd0aFBsMzZoak9BRU9FMXBrcmF1RUkzd2hSTUtndGZt0gHKAUFVX3lxTE8zTHl1bXNZWklpdlVYbmVxZEZjWFdTV3dLTnE4Z0RnR01Dcno3WVFVZElzTklPdTd0Y2prbG5CeC1Md0gxX1loVFoweEpOWjliZUV4X09NeG9VcUlLSE5JdEZxd2ROVmVWTWlfZHJOUjE2aHdkMkJJQmJyUVNsNW9vUGhFTUVMZkU1Mm1lVU1UbzNqNHNJZ1dyLVJ1WnB1TS00QkdiUElXUkdFWXBUQ2ZHcXhkajNIR1VTVTZqQjJQWEFtdmJKQmdkSkE?oc=5,"1st patient who got brain chip from Elon Musk's Neuralink to begin his own business | 'Technically I'm a cyborg, I've been enhanced' | Inshorts Inshorts",Inshorts,2025-08-24 18:14:09+00:00,0.0,Neutral
sports,"Why there’s never enough money in college sports: ‘We’re, at times, our own worst enemy’ - The New York Times",https://news.google.com/rss/articles/CBMipwFBVV95cUxNd0hrQ19pLUZEOVJtM2NkN1pfdHBid2RVQTViQi14R1lvbDNWQTE2QU8xM0MyQm5rYUhuSlFjcXByU1JHZGU3Vm8wV1g5OXM4bFVNN2pwNEg2b0psNjBEdW1RQ3pMU01sZWU5WTNwQlFRcnc1Qjh5NmRRSXFGY3k4SHVxNmFaWDNRTEJRR1hXWVNZdG1VOW1tSy1nV1BhTFJaNnJLb2NMOA?oc=5,"Why there’s never enough money in college sports: ‘We’re, at times, our own worst enemy’ The New York Times",The New York Times,2025-08-24 12:53:18+00:00,-0.8481,Negative
sports,"It’s year No. 49 covering high school sports, so let’s look back at how it started - Los Angeles Times",https://news.google.com/rss/articles/CBMiwgFBVV95cUxQM0htRFRDTFFOdHpKdFRpdnR0Vjl1NGpVd0tsUWVvWkN3NUYzQmNHUkpnVXRHLUJZalZMeFdoZHZHNFQ5d2QybmRGaU8tcFNxWmtrTGF6UTJlckwxTlhQajhTNnpDclZKeFN6SFFHWkQtTFBxWUhYd3BfUTlDd2Q4MHhEM2l3Q1NSTUEyY1hxRTZUVFVUc3p1dll6ODRmeEJwTE5yZnVyV3dzR3BkR0F0dDBBb2p0ek9NYmFBWFlRUWE3Zw?oc=5,"It’s year No. 49 covering high school sports, so let’s look back at how it started Los Angeles Times",Los Angeles Times,2025-08-24 11:30:00+00:00,-0.5267,Negative
Elon Musk,"18 months after surgery, Elon Musk’s first brain chip patient is playing Mario Kart and planning to start a business - Mint",https://news.google.com/rss/articles/CBMikwJBVV95cUxOUGlFa0VoS2RaZDB1TzdEUVBIVm13MWdKb3ZDRHZPMEtadXZWQms4eXowcW9ObDJVaGZGLWVnNDZYclpscWExNkRFb2ZueGtuYjM5bkZSVGZKNlp3cHAya0dPbVA0ZzBzajQ1ZDdjTDNNSzRoRW5pemV2NTFpZjlpLUwzQVl1TUctNWMtZk9DdmRmbkRuM1JJckxwVG50ZDVTUzNiaXFRcnlQdXJDZEhXYlJFdWk3aXppRTVnZXl0TlZTclluMHhHZ2FINFhrbnpuRDAyT0NkbE5iNlYxbFhsUGhLUEdnRmZXVTZCcm5NQVJXMlQyRXV3bC02LTRzMFg0TDNyZUVGd1ZVcmk3cTkzWGxOTdIBmAJBVV95cUxONU1BYy1kNVRHQmdjblNuN1haS3NPbkFybVBlT3Nqc2JPOHpWMGpWSl9USFFBenNEMDFxVzJ0amMwU1lNYzRGLXFUakdZYi1OOFBRT3VWdVY2QzZyM2ZwQ0lQUTgxb0hvMW1yVXZ0T2lmNVpvSEVTdklGVnd6QTViMVRIczhZd2I5WnlaV1F6NFlfeDlvYnhPbDJEQjRoalBVclpmeFFBckZVZ2R4X2ZWOEJvc3E2bU5PY1liQ1owSGtVcWhnMkVic2xuQS1LT2R2RFlBbVRBaHdMVGZieER3dVROWlh6dktRTVlYQTZzSFBDczNvTkF3MGQ5c2ZOX25lZEVPR2EzRXZiZU9QMG1aT3FpUmVSX1Jz?oc=5,"18 months after surgery, Elon Musk’s first brain chip patient is playing Mario Kart and planning to start a business Mint",Mint,2025-08-24 06:57:46+00:00,0.3818,Positive
floods,"Milwaukee missing man search, floods washed away encampment - FOX6 News Milwaukee",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9tRjNBcFYyTzVSa1AwODB3aHp6SzJzNnpwcWRVdG1HZnFTMWJMVWRGc1Bfdk1VYnRBWEdpSWFqR2FvZ2p0cXJWc0g4VnRQWmIwNGhCTzVySUlGaFpxOVd3YjJHaktmUDTSAWxBVV95cUxNNGR5Y0pCQzNHMWNFSlgyOW1QdGhRbHgzUkNFMjFhT01zelRJZnJmV0trVGk5RWhkel9lODJGUm9DZ3hBdzNLWUpsc3FjV0hHQXV5VWJUWkgzSkVuVEZ4MnNmRVNsa0xEa05tNXk?oc=5,"Milwaukee missing man search, floods washed away encampment FOX6 News Milwaukee",FOX6 News Milwaukee,2025-08-24 01:52:47+00:00,-0.5267,Negative
floods,Record Rain Causes Flash Flooding In Charleston - The Weather Channel,https://news.google.com/rss/articles/CBMijwFBVV95cUxNQnVvOGtSY0VXRi1nanMwbm5kNFdmdkRRV1BOSkZEWkk0ZnZGd1Z3OVJTR25JeWdJTkFCVld4YW5kTVFibXRzY1BBMzJ2Rnh5TGdEZHVqS1dvSTJvQW5yOTZTUzNjclRQMTI1R2JoQ183MmtRSV9PMjRES0txbTBGQzFneUtodF9sM295ekM5Yw?oc=5,Record Rain Causes Flash Flooding In Charleston The Weather Channel,The Weather Channel,2025-08-23 14:01:49+00:00,0.0,Neutral
sports,College Sports Are Changing - The Atlantic,https://news.google.com/rss/articles/CBMipgFBVV95cUxNNUZyazBKWXVlTXlCVGx5Wi1PaFR0SWZyZWk5QUFycTIyeXhfTzhpX2VuMnNBdll4Tk93eUhaSjFWTzZxLU9vR1YzalNnU2pkTmJIaklzYS1MTVkySEV0Qk9VdEpuZHNtTWhERUprU3FObjYwaDIyVThvRURfVnFWY19nc29PTEhoU2hKRHUtdzhNNk9fOWV5SHlnT05haHJZUWJYTTVB?oc=5,College Sports Are Changing The Atlantic,The Atlantic,2025-08-23 13:00:00+00:00,0.0,Neutral
Elon Musk,Neuralink’s first study participant says his whole life has changed - Fortune,https://news.google.com/rss/articles/CBMitwFBVV95cUxObEVIVGtwaDRQSUVma0p4YmtsZllwOUo1MEtyWklqTkZ2bWlLSVhQOW9OTFdob0FLU1NsbTl4WUoyR0xRVGZudGxKLVVDQnNySlVUUnJVZFExZzk4ZzlyNVlsZzNYQllwRGJhbkxRRjNoYWg1ZHRnV1lpNnB0UlNMM2RrZjdBMFZQS2pKQlJmQUNieFExQ3hIQUJnQVRPeG44ZWlQbklGU1BITE9JZkhnQ2t0MTVuUGM?oc=5,Neuralink’s first study participant says his whole life has changed Fortune,Fortune,2025-08-23 09:00:00+00:00,0.0,Neutral
