query,title,link,summary,source,published,sentiment_score,sentiment_label
informatics,CDC Public Health Informatics Fellowship Program (PHIFP) – 2026 Cohort - Global South Opportunities,https://news.google.com/rss/articles/CBMidEFVX3lxTE56aDdMZEdwQlBERFRkVUZaajRUdmszdWRXUjNrNnVOSURkUTluT0d2eWgtNVh3OWduUmhTU2xZbmdXV2dRMVg5TmJBYkpfUGhkb2pCcXViWlJWV0pLeXhjMVh4S0F0cEZ2MDBnX1Q0OTRhUzNy?oc=5,CDC Public Health Informatics Fellowship Program (PHIFP) – 2026 Cohort Global South Opportunities,Global South Opportunities,2025-08-25 04:52:36+00:00,0.6369,Positive
computer science,Vibe coding startup CEO says a computer science degree is no longer the 'entry ticket' to a career in tech - Business Insider,https://news.google.com/rss/articles/CBMipAFBVV95cUxQYjBkNXJVdGNMRTJPRHZxLVdaWWZBSExJbUN6Qlp3SkJqbUpuVDQtZzgzM2VBSmFDM3lTU0g5V3IwWjRtVDhEV2dxWVppTmFLZ29fOFB6aFpLRWxsYUtyME5hSFlFX2lNZFZBanQ3YW9sLUVDVS1MTk1JYlA5ZGZON1JnbUxfczdFdFF2ajVQeU9BS1VVUUxORGxxOVBCd1pudXFxNw?oc=5,Vibe coding startup CEO says a computer science degree is no longer the 'entry ticket' to a career in tech Business Insider,Business Insider,2025-08-25 03:02:00+00:00,-0.5267,Negative
stock market,$4 trillion of super at risk of potential market plunge - Australian Broadcasting Corporation,https://news.google.com/rss/articles/CBMipwFBVV95cUxPOW9QMXk3dmVrT3NnMUVlczJGdVlFcFdBTzcyOXdGUWc5NmZ6WEZSRjBJZFNCaWU3MndQd20tSW9YV0tYaVk5alFDRHhuaURJWU0wemYzN0I5dWRJdmhRd3FEc0xsd2FwMU9QV0kyMDNkakFGQS1PYjFpblVMejRONTV4UHlpUVRGUjdIaWdBTTRwWFNrU0NGamoyMlBqdVc0ajdQMXdvSQ?oc=5,$4 trillion of super at risk of potential market plunge Australian Broadcasting Corporation,Australian Broadcasting Corporation,2025-08-24 19:59:49+00:00,0.6808,Positive
computer science,From Humanities To Computer Science: Apply For Top Free Courses By Harvard University - NDTV,https://news.google.com/rss/articles/CBMiwAFBVV95cUxPdWdwb1lxSTFtS0t3WjhRMVN1SnBXSDd3Rm9TdnNQRElzVUpRTVFXb0dnVUpncVhqOTJrTWdudjUzMWt6OExxSVNIXzlhMUtxZEtlQV85R0JrQktLaGRBeWZRbHQ4RzF3UW1GUmVNb1BHZXY2dDBXYzZkNDBCcWdMM2pjLUF2S2JMZG44cjJObHg5bVJvZmZhQkd6dzg4VURWek1kb2lkQlU2Q1ZEWnYzamg3c3RXTENlX0FtakNOVzfSAcgBQVVfeXFMTUd6NXNHYW5tbU5OdExFMUJxbVVPNFhCcnpfVTBlclVWZzZlaW9sZjhULUhpc3gxY19wWURHVTlaMC1kXzc5YWl2elV1Q2J5MEN3RUt1ekpiLWtnb1o4dXltaXFYY0dqVHFvMmFUM2pqYWdTOTZNei1DNzFzV3JBeC1FN2dqMU9ybmdodFRObXZsNkRXcFFxSVNZWXBLQWoxUGxLV0h6aDE4bjI0SEN5M19OaG5xTldpQU42VTREOTV3N3FZT1VKY08?oc=5,From Humanities To Computer Science: Apply For Top Free Courses By Harvard University NDTV,NDTV,2025-08-24 13:27:06+00:00,0.8481,Positive
stock market,Is the AI bubble about to burst – and send the stock market into freefall? | Phillip Inman - The Guardian,https://news.google.com/rss/articles/CBMivwFBVV95cUxQejIzTS1BaHBteDE3d0pqbVhTSmxOeE1sRnlCSlJBMTlUSjJQeWwzU1FtUnB5YkFwSks4ZElCdEY1aWwzZkM1d1FHQjVYQWY3S3R0bm5WMDY2U1pwcmVFZklfR0JpMTZMTjQteUZ5VmUyOGJQSlZzZnhpMzV5bDYyeFloUHNQQTlvcDl0cDAtU25HM3N4Y25IaTg0WU5ORVJYcUdvVHhGM21MT2xoeWozN3NDYkpLNXpkaWJZenBUUQ?oc=5,Is the AI bubble about to burst – and send the stock market into freefall? | Phillip Inman The Guardian,The Guardian,2025-08-23 15:01:00+00:00,0.0,Neutral
computer science,Curiosity and code: Bengal computer scientist Eshan Chattopadhyay's path to Godel Prize - The Economic Times,https://news.google.com/rss/articles/CBMi5wFBVV95cUxQWlF5WXZHa3k0Y29hNFJ5YUhjQVZNRDYwR3FSaG93LWF2bEZWMjNlWFJINXg3ZV9GUTlZNm5SSGRrcUhicm5QdVlMTUI0STRPVGQ1YU1COGQyTTA4VjdObEhUeF91eHJoNjE4WHBUaENiTmhsN2ZHYnhhcFZrNmdhdk82cUNfQ29rcV9reUJWNnNRUzF5YjZfRXljNDVMMXUyTHZwTnZLWEtfNmJNZFMyUkxKRGloT2RFOXU0TFJsVFVlLW1TQ1BUTVBLb2hPMEhRREF6anRYOGM0cFJhem9qSmpZNk81Sk3SAewBQVVfeXFMUHFCUF81RGstd0k2R1UydDF4V0tJVUYxb2RId1lvZjdmTy1POEw0aG1UUzVKZzdkMmFKQVR1R1FvYjlYdnFNQVYwVXNJOWJIUThCVEhDQnV6cUdyejBGeUFxcENNaWtGU0NmWDRRYjVsU0tfNl80N1hWbGtaY202bHA3d1QtV2tMS3FieEdtTU8xRGpEaDg3Y3ROci1nU091ZnY4OE9pVVhIR0ZyYU5VSC1xNm1YTmYzQlZ2YUJ0WmZvV0F6eU5qUDYxZWRvVmZNbzQwZk9CaDlQTmFBUDFrSlBrMEZEU0VPeVNJSUQ?oc=5,Curiosity and code: Bengal computer scientist Eshan Chattopadhyay's path to Godel Prize The Economic Times,The Economic Times,2025-08-23 09:45:01+00:00,0.765,Positive
informatics,"MUSC recruits thought leader to lead AI and biomedical informatics initiatives - MUSC | Charleston, SC",https://news.google.com/rss/articles/CBMiiAJBVV95cUxPYTRDM0pXVWhIODJwaElBUk1mcTVrTkpLdEJZWjU5Y29ldmw2WDZBYjI0UmwzWmNUUG1fTnBnZG9PeVc2dFFyM0Y5RGRjZmZZcGZSa2dSbXg1UEdoRXZaU2xaRHhlZGJvTW9GOGlnbV90TmtTOWh6Zm52ZG03X1ZYVDFXQlZmelY4Z0MxR2pCTDJDeFFyNFppS0VSQWcwY0h1N0Ffc0NLSE5sOF9zQmNEVDNJSy1JV1d2RnR6cTE4blY2djNDNEtQVERXSy1ncXQ5RUVrLTZJTGUtUWJzdFdFZmtvcjNVazFTcld5Q2hMU1lkZEo3WlVVSUIybW9kbkR0VUlnNnlXTEI?oc=5,"MUSC recruits thought leader to lead AI and biomedical informatics initiatives MUSC | Charleston, SC","MUSC | Charleston, SC",2025-08-22 20:45:18+00:00,0.0,Neutral
informatics,Leading Life Science Consulting Firm Astrix Acquires Blue Ocean Informatics - PRWeb,https://news.google.com/rss/articles/CBMivgFBVV95cUxOWDZoMzBGdHlHbmpaam8zcUdhaWNtZUM4NUFiU2k5YjQwcXJBRi03ZE9udTlaZHZKQWZ1RFl1ckpYaUNiYUZRbktXRUhmb0ZSbWNRNFZoT05KZEdCRmo3Q2UxcEE2QkNhMTgxUURGZHpyMExJNmNYYkEyeEtXQnJUdE9ybWlZbDExSm9Sc2lLZVFqTWJRQWFuVTVSU2x5QzF5NU9xamRhOWVyT3RKZlZHUFdNZjJjVzFkaXVteWF3?oc=5,Leading Life Science Consulting Firm Astrix Acquires Blue Ocean Informatics PRWeb,PRWeb,2025-08-22 19:00:00+00:00,0.0,Neutral
stock market,"Stock market today: Dow, S&P 500, Nasdaq rise ahead of Powell speech - Yahoo Finance",https://news.google.com/rss/articles/CBMitgFBVV95cUxOSDlwMUJqVzA4a2J6QnliU0hEOFdPNmR1SkEteU5zcnVzQ3VoSVpTRVB4am5wSDB1cjhWSlk5VGUwd2dEYWFsN1U2cG4tZ1N2TFU2b3pFSTVKOWozZjdCamxORGpoVXJ5S0w1Ykk5bjJ4dV80Um4yeDRDY1VwRkRMc0VDSWNnc0c1d1k0T0M2LVpQaktnRDdMdGFJeXFscXVBaWpLdWEwSHlUN0Y4U0c1UHgyWlBEUQ?oc=5,"Stock market today: Dow, S&P 500, Nasdaq rise ahead of Powell speech Yahoo Finance Stock market today: Dow jumps 800 points to record, S&P 500, Nasdaq soar as Powell's Jackson Hole finale fuels bets on September rate cut Yahoo Finance Stock futures are little changed after Dow's record close, as traders await Nvidia earnings: Live updates CNBC",Yahoo Finance,2025-08-22 14:03:26+00:00,-0.1779,Neutral
stock market,How Long Can This Uncanny Stock Market Prosper? - The New York Times,https://news.google.com/rss/articles/CBMif0FVX3lxTE40MjdseVZXTVF0a0tGel9FcFlhMlhhdnVQanBKMlg3VEFOOU1xZVVDc3A2TXN2V2U2QXBQODdaUFphdUxyVlozTWtTV3NEdmZMV2J4Z3JpNWJaTHZ0UTFGdmEzRzREUUVFWWNPYkpwXy12UnkydkFScENwM1BKSDA?oc=5,How Long Can This Uncanny Stock Market Prosper? The New York Times,The New York Times,2025-08-22 09:01:55+00:00,0.0,Neutral
